strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Ghana/WACCBIP-GS857/2021	EPI_ISL_2836914		WACCBIP, University of Ghana, Accra, Ghana	WACCBIP, University of Ghana, Volta Road, Legon-Accra, Ghana	Collins M. Morang'a et al
hCoV-19/Nigeria/NCDC-FCT-10T/2021	EPI_ISL_2432953		Demy Health	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/Coted-Ivoire/COV-BKE3635-bc80/2021	EPI_ISL_3536595		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
hCoV-19/USA/GA-CDC-ASC210060007/2021	EPI_ISL_2146453	MZ280667.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Nigeria/CV895/2021	EPI_ISL_1242014		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University	Oluniyi P.E. et al A
hCoV-19/USA/SC-DHEC-1643/2021	EPI_ISL_2312969	MZ261936.1	Microbiology Division, SC DHEC	Microbiology Division, SC DHEC	Freeman et al
hCoV-19/Australia/NSW-R0278/2021	EPI_ISL_2249256		New South Wales Health Pathology Royal Prince Alfred Hospital	Microbiology RPAH	Foster et al
hCoV-19/Kuwait/JAH3092399/2021	EPI_ISL_2557309		MOH - Jaber Al-Ahmad Hospital (Innovation Research Laboratory)	MOH - Jaber Al-Ahmad Hospital (Innovation Research Laboratory)	Salman Al-Sabah et al
hCoV-19/Mali/INSP634/2021	EPI_ISL_2484167		INSP-Bamako	Malaria Research and Training Center	Antoine Dara et al
hCoV-19/Libya/EMC-9/2021	EPI_ISL_2860644		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/Australia/WA620/2021	EPI_ISL_1017678		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/SouthSudan/UG712/2021	EPI_ISL_3546349		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG575/2021	EPI_ISL_2928022		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG714/2021	EPI_ISL_3546351		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG573/2021	EPI_ISL_2928020		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG571/2021	EPI_ISL_2928018		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/DRC/RDC-385/2021	EPI_ISL_2966650		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Libya/EMC-7/2021	EPI_ISL_2860642		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/Libya/EMC-10/2021	EPI_ISL_2860645		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/Libya/EMC-6/2021	EPI_ISL_2860641		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/SouthSudan/UG580/2021	EPI_ISL_2928027		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/Coted-Ivoire/COV-BKE3833-bc88/2021	EPI_ISL_3536601		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
hCoV-19/USA/SC-CDC-2-4451579/2021	EPI_ISL_2451969	MZ358620.1	SC Dept of Health and Env. Control-Bureau of Laboratories	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al
hCoV-19/Uganda/UG532/2021	EPI_ISL_2690478		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Rakai Health Sciences Program	Matthew Cotten et al
hCoV-19/Uganda/UG472/2021	EPI_ISL_2346434		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Australia/WA627/2021	EPI_ISL_1198801		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Uganda/UG459/2021	EPI_ISL_2346425		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Uganda/UG471/2021	EPI_ISL_2346433		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Uganda/UG473/2021	EPI_ISL_2346435		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Coted-Ivoire/COV-BKE3636-bc81/2021	EPI_ISL_3536596		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
hCoV-19/Coted-Ivoire/COV-BKE2831-bc10/2021	EPI_ISL_3536547		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
hCoV-19/Mali/INSP420/2021	EPI_ISL_2672210		INSP, Bamako	Malaria Research and Training Center-Parasito	Antoine Dara et al
hCoV-19/Italy/ABR-IZSGC-273981/2021	EPI_ISL_2308562		SIESP DIPARTIMENTO DI PREVENZIONE TERAMO	Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”	Lorusso A et al
hCoV-19/Libya/EMC-5/2021	EPI_ISL_2860640		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/USA/TX-HMH-908/2020	EPI_ISL_545910		Houston Methodist Hospital	Houston Methodist Hospital	S. Wesley Long et al
hCoV-19/NewZealand/20CV0273/2020	EPI_ISL_579066		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/USA/NM-NMDOH-2020327154/2020	EPI_ISL_569628	MW075750.1	New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	Ellie Johnson et al
hCoV-19/USA/RI-USAFSAM-S189/2020	EPI_ISL_812534		United States Air Force School of Aerospace Medicine	United States Air Force School of Aerospace Medicine	Anthony Fries et al
hCoV-19/Cyprus/Cy049004/2020	EPI_ISL_1164643		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
hCoV-19/USA/NJ-PHEL-20-19459/2020	EPI_ISL_1164770		NJDOH, Public Health and Environmental Laboratories	NJ_PHEL	Lindsey Bodnar et al
hCoV-19/USA/ID-IBL-641197/2020	EPI_ISL_3464652		Idaho Bureau of Laboratories	Idaho Bureau of Laboratories	"R. Beukelman et al
hCoV-19/NewZealand/21CV0093/2021	EPI_ISL_877219		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/USA/LA-BIE-LSUH000801/2021	EPI_ISL_2650401	MZ434721.1	Ochsner Health	Bioinfoexperts, LLC	Judy Crabtree et al
hCoV-19/USA/NV-NSPHL-341690/2021	EPI_ISL_1137296	MZ473482.1	Nevada State Public Health Laboratory	Nevada State Public Health Laboratory	Andrew Gorzalski et al
hCoV-19/Mexico/GUA-InDRE_251/2021	EPI_ISL_1060718		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/USA/NJ-QDX-3388/2020	EPI_ISL_884376	MW522442.1	Infectious Diseases, Quest Diagnostics	Infectious Diseases, Quest Diagnostics	Rosenthal et al
hCoV-19/NewZealand/21MV0077/2021	EPI_ISL_1016878		Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/SaintVincentandtheGrenadines/71769/2021	EPI_ISL_2678167		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/USA/WV-WVU-WV005055/2020	EPI_ISL_2195531	MZ499818.1	WVU Rapid Development Lab	WVU and Marshall University Combined Genomics Core Facilities	James Denvir et al
hCoV-19/USA/MO-MSPHL-000783/2020	EPI_ISL_1791324		Missouri State Public Health Laboratory	Missouri State Public Health Laboratory	Matthew Sinn et al
hCoV-19/USA/MP-CDC-2-4084438/2021	EPI_ISL_3354446		Commonwealth Healthcare Center	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al
hCoV-19/USA/IN-PU-LH000094718/2020	EPI_ISL_955213		Indiana Animal Disease Diagnostic Laboratory	Carpi Laboratory - Purdue University	Jack Dorman et al
hCoV-19/USA/SD-UMGC_96/2020	EPI_ISL_1016973		South Dakota Public Health Laboratory	University of Minnesota Genomics Center	Daryl M. Gohl et al
hCoV-19/USA/CT-Yale-1146/2020	EPI_ISL_1017510		Murphy Medical Associates	Grubaugh Lab - Yale School of Public Health	Mary Petrone et al
hCoV-19/USA/NH-CDC-2-3714179/2020	EPI_ISL_751582	MW495979.1	NH Dept. of Health and Human Services Public Health Labs	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
hCoV-19/USA/FL-BPHL-2775/2020	EPI_ISL_849042	MW491231.1	Florida Bureau of Public Health Laboratories	Florida Bureau of Public Health Laboratories	Sarah Schmedes et al
hCoV-19/NewZealand/20CV0576/2020	EPI_ISL_661260		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/USA/LA-EVTL1235/2020	EPI_ISL_768504		LSUHS Emerging Viral Threat Laboratory	Microbial Genome Sequencing Center	Jennifer L. Carroll et al
hCoV-19/USA/SC-DHEC-0093/2021	EPI_ISL_1303219	MW741963.1	Microbiology Division, South Carolina Department of Health and Environmental Control	Microbiology Division, South Carolina Department of Health and Environmental Control	Flores et al
hCoV-19/USA/DE-DHSS-B1067842/2021	EPI_ISL_1339969		DPHL	Delaware Public Health Lab	Rebecca Savage et al
hCoV-19/Portugal/PT3840/2021	EPI_ISL_1117262		HSE Ilha Terceira - Angra do Heroismo	Instituto Nacional de Saude (INSA) and Instituto Gulbenkian de Ciencia (IGC)	Borges et al
hCoV-19/USA/KY-GD-061521-21042980024/2021	EPI_ISL_2854844		Gravity Diagnostics, LLC	Gravity Diagnostics, LLC	Gravity Diagnostics et al
hCoV-19/USA/WI-GMF-38944/2020	EPI_ISL_942593		Gundersen Molecular Diagnostics Laboratory	Kabara Cancer Research Institute	Craig S. Richmond et al
hCoV-19/USA/MI-MDHHS-SC24180/2021	EPI_ISL_1158324		Michigan Department of Health and Human Services, Bureau of Laboratories	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship HM et al
hCoV-19/USA/WI-CDC-LC0011218/2021	EPI_ISL_1038701	MW644052.1	Laboratory Corporation of America	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Peter W. Cook et al
hCoV-19/NewZealand/20CV0658/2020	EPI_ISL_732963		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/USA/PA-MGEL-00457/2020	EPI_ISL_853289		UPMC Clinical Microbiology Laboratory	Microbial Genome Sequencing Center; Microbial Genomic Epidemiology Laboratory	Mustapha M. Mustapha et al
hCoV-19/Australia/QLD1336/2020	EPI_ISL_849694		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
hCoV-19/SouthKorea/KDCA0386/2020	EPI_ISL_760170		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/SouthKorea/KDCA0243/2020	EPI_ISL_760008		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/SouthKorea/KDCA4620/2021	EPI_ISL_2464369		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/SouthKorea/KDCA2171/2021	EPI_ISL_1319025		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/SouthKorea/KDCA3749/2021	EPI_ISL_2284576		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/Canada/Qc-CHUM-2016902958A/2020	EPI_ISL_825810		Laboratoire de santé publique du Québec	Laboratoire de santé publique du Québec	Sandrine Moreira et al
hCoV-19/USA/NY-Wadsworth-192866-01/2020	EPI_ISL_676998		Masonic Medical Research Institute	Wadsworth Center, New York State Department.of Health	Nathan Tucker et al
hCoV-19/Argentina/PAIS-E0167/2021	EPI_ISL_1395832		Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Delia Foussal et al
hCoV-19/Argentina/INEI096418/2020	EPI_ISL_856799		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al
hCoV-19/Argentina/PAIS-G0125/2020	EPI_ISL_1396065		Laboratorio de Salud Pública	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
hCoV-19/Argentina/INEI019422/2020	EPI_ISL_849307		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al
hCoV-19/Argentina/PAIS-G0026/2020	EPI_ISL_1396055		Laboratorio Central, Ministerio de Salud Cordoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
hCoV-19/Paraguay/iics_7912/2021	EPI_ISL_2234883		IICS-UNA	IICS-UNA	Magaly Martinez et al
hCoV-19/SouthKorea/KCDC2149/2020	EPI_ISL_498050		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
hCoV-19/USA/NM-UNM-00367/2020	EPI_ISL_507994		New Mexico Department of Health Scientific Laboratory Division	Center for Global Health, University of New Mexico Health Sciences Center	Daryl Domman et al
hCoV-19/Mexico/YUC-InDRE-IBT-135/2020	EPI_ISL_1301591		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/USA/CT-Yale-1048/2020	EPI_ISL_1067647		Connecticut Veterans' Affairs Hospital	Grubaugh Lab - Yale School of Public Health	Mary Petrone et al
hCoV-19/Niger/M82/2021	EPI_ISL_2835627		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
hCoV-19/Ghana/WACCBIP-GS387/2020	EPI_ISL_1255254		West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana, Accra, Ghana	West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana, Volta Road, Legon-Accra, Ghana	Collins M. Morang'a et al
hCoV-19/Aruba/AW-RIVM-11558/2021	EPI_ISL_1014336		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Mexico/TAM-InDRE_FB14701_S2256/2021	EPI_ISL_2343008		LESP Tamaulipas	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/SLP_IBT_IMSS_2110/2021	EPI_ISL_3347603		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Bonaire/BQ-RIVM-21044/2021	EPI_ISL_1457750		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/USA/CT-Yale-2844/2021	EPI_ISL_1509248		Yale Clinical Virology Lab	Grubaugh Lab - Yale School of Public Health	Joseph Fauver et al
hCoV-19/USA/CA-CDC-FG-027672/2021	EPI_ISL_1839554	MZ077548.1	Fulgent Genetics	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Colombia/SAN-INS-VG-2725/2021	EPI_ISL_2828056		LDSP SANTANDER	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
hCoV-19/NewZealand/20CV0311/2020	EPI_ISL_622801		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/USA/DC-DFS-PHL-0068/2020	EPI_ISL_804854	MZ488060.1	DC Public Health Lab/ Dept. of Forensic Sciences	DC Public Health Lab/ Dept. of Forensic Sciences	Scott Nguyen et al
hCoV-19/CostaRica/INC-0138/2020	EPI_ISL_682276		LABORATORIOS LABIN	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/USA/PA-MGEL-00792/2020	EPI_ISL_1373712		UPMC Clinical Microbiology Laboratory	Microbial Genome Sequencing Center; Microbial Genomic Epidemiology Laboratory, University of Pittsburgh	Lee H. Harrison et al
hCoV-19/Australia/NT32/2020	EPI_ISL_430636		Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity	Meumann et al
hCoV-19/USA/NE-MP_NCOV20-27493/2021	EPI_ISL_2689142		Nebraska Public Health Laboratory	NPHL COVID-19 Response Team	NPHL COVID-19 Response Team et al
hCoV-19/Australia/ACT0051/2020	EPI_ISL_498518		ACT Pathology	Schwessinger Lab	Ashley Jones et al
hCoV-19/Guatemala/ASI01026/2020	EPI_ISL_3446724		Laboratorio Nacional de Salud	Asociación de Salud Integral/Clínica Familiar "Luis Ángel García"	Eduardo Arathoon et al
